Income,Age,Education,Marital Status,race,sex,Capital Gain,Capital Loss,Hours per Week,Native Country
 <=50k,18, 10,0,0,2, 0, 0, 22,0
 >50k,40, 9,1,1,1, 7688, 0, 55,1
 >50k,43, 9,1,1,1, 0, 1887, 45,1
 <=50k,34, 14,0,1,2, 0, 0, 30,1
 <=50k,47, 9,0,1,2, 0, 0, 30,1
 <=50k,44, 11,0,1,2, 0, 0, 30,1
 >50k,33, 9,1,1,1, 0, 0, 40,1
 >50k,55, 13,1,1,1, 15024, 0, 50,1
 <=50k,19, 9,0,1,1, 2907, 0, 30,1
 <=50k,28, 10,0,0,1, 0, 0, 14,1
 <=50k,27, 7,1,0,2, 0, 0, 32,1
 <=50k,50, 4,1,1,1, 0, 0, 20,1
 <=50k,22, 7,0,1,1, 0, 0, 40,1
 >50k,40, 13,1,1,1, 0, 1887, 45,1
 <=50k,25, 10,0,1,2, 0, 0, 40,1
 <=50k,26, 9,0,1,1, 0, 0, 40,1
 <=50k,22, 13,0,1,1, 0, 0, 25,1
 <=50k,42, 10,0,0,2, 0, 625, 40,1
 <=50k,38, 13,0,1,1, 0, 0, 40,1
 <=50k,55, 7,1,1,1, 0, 0, 30,1
 <=50k,32, 9,1,1,1, 0, 0, 40,1
 <=50k,22, 9,1,1,1, 0, 0, 45,1
 <=50k,29, 13,0,1,1, 0, 0, 40,1
 >50k,46, 14,1,1,1, 0, 0, 45,1
 >50k,31, 10,1,1,1, 0, 0, 40,1
 >50k,58, 16,1,1,1, 0, 0, 16,1
 <=50k,42, 9,1,1,1, 0, 0, 45,1
 <=50k,18, 9,0,1,1, 0, 0, 25,1
 <=50k,58, 9,0,1,1, 0, 0, 33,1
 >50k,54, 9,1,1,1, 0, 1887, 40,1
 <=50k,34, 14,0,1,1, 0, 0, 40,1
 <=50k,26, 13,0,1,2, 0, 0, 40,1
 <=50k,61, 8,1,1,1, 0, 0, 60,1
 <=50k,48, 14,0,0,2, 0, 0, 40,1
 >50k,36, 10,1,1,1, 0, 0, 45,1
 <=50k,24, 11,1,1,1, 0, 0, 45,1
 <=50k,40, 10,1,1,1, 0, 0, 37,1
 >50k,33, 9,1,1,1, 0, 0, 50,1
 >50k,37, 10,1,1,1, 0, 1887, 40,1
 <=50k,34, 14,0,1,1, 4650, 0, 40,1
 >50k,56, 10,1,1,1, 15024, 0, 40,1
 <=50k,37, 13,0,1,2, 0, 0, 55,1
 <=50k,44, 9,0,0,2, 0, 0, 40,1
 <=50k,54, 9,0,1,1, 0, 0, 45,1
 <=50k,23, 9,0,1,1, 0, 0, 50,1
 <=50k,22, 9,0,1,2, 0, 0, 45,1
 >50k,33, 13,1,1,1, 0, 1977, 40,1
 >50k,39, 13,0,1,1, 0, 0, 50,1
 <=50k,47, 10,0,0,2, 0, 0, 37,1
 <=50k,26, 9,0,0,2, 0, 0, 55,1
 <=50k,31, 10,0,1,2, 0, 0, 40,1
 <=50k,44, 10,0,1,1, 0, 0, 45,1
 >50k,42, 15,1,1,2, 0, 0, 50,1
 <=50k,19, 9,0,1,2, 0, 0, 40,1
 >50k,27, 9,1,1,1, 0, 0, 40,1
 >50k,51, 10,1,1,1, 0, 0, 40,1
 <=50k,28, 13,1,1,1, 0, 0, 50,1
 <=50k,57, 13,0,1,1, 0, 0, 45,1
 <=50k,45, 13,0,1,2, 0, 0, 40,1
 >50k,50, 11,1,1,1, 0, 0, 40,1
 <=50k,34, 13,1,1,1, 0, 0, 54,1
 <=50k,45, 4,1,0,1, 0, 0, 40,1
 <=50k,73, 9,1,1,1, 0, 0, 20,1
 >50k,34, 13,1,1,2, 0, 0, 50,1
 >50k,31, 10,1,1,1, 0, 0, 55,1
 <=50k,19, 7,0,1,1, 0, 0, 12,1
 <=50k,25, 10,0,1,2, 0, 0, 50,1
 <=50k,38, 11,0,1,2, 6497, 0, 40,1
 <=50k,39, 13,1,1,1, 0, 0, 40,1
 <=50k,23, 13,0,0,2, 0, 0, 32,1
 <=50k,49, 9,1,1,1, 0, 0, 40,1
 <=50k,33, 9,0,1,1, 0, 0, 32,1
 <=50k,21, 3,0,1,1, 0, 0, 38,0
 <=50k,31, 11,0,1,1, 0, 0, 40,1
 <=50k,23, 13,0,1,2, 0, 0, 45,1
 <=50k,34, 13,1,0,1, 0, 0, 40,0
 <=50k,25, 9,0,0,2, 0, 0, 40,0
 <=50k,39, 9,0,1,1, 0, 0, 40,1
 >50k,52, 9,1,1,1, 0, 0, 40,1
 >50k,63, 5,1,1,1, 7688, 0, 40,1
 <=50k,41, 10,1,1,1, 0, 0, 40,1
 >50k,46, 13,1,1,1, 15024, 0, 38,1
 <=50k,53, 9,1,1,1, 0, 0, 40,1
 <=50k,18, 8,0,1,1, 0, 0, 40,1
 <=50k,38, 15,1,1,1, 0, 0, 50,1
 <=50k,55, 14,0,0,2, 0, 0, 50,0
 >50k,34, 9,1,1,1, 0, 0, 40,1
 <=50k,80, 9,1,1,1, 0, 0, 30,1
 <=50k,34, 11,0,1,2, 0, 0, 60,1
 <=50k,52, 10,1,1,1, 5013, 0, 40,1
 <=50k,42, 9,0,0,2, 0, 0, 28,0
 <=50k,26, 10,0,1,2, 0, 0, 40,1
 <=50k,31, 9,1,1,1, 0, 0, 40,1
 <=50k,25, 9,0,1,2, 0, 0, 35,1
 <=50k,55, 9,1,1,1, 0, 2057, 60,1
 <=50k,19, 10,0,1,2, 0, 0, 12,1
 <=50k,62, 10,1,1,1, 0, 0, 32,1
 <=50k,22, 10,0,1,2, 0, 0, 20,1
 <=50k,35, 9,1,1,1, 0, 0, 40,1
 <=50k,28, 9,1,1,2, 0, 0, 40,1
 >50k,47, 9,1,1,1, 0, 0, 70,1
 <=50k,44, 9,1,1,1, 0, 0, 40,1
 <=50k,21, 10,0,1,1, 0, 0, 15,1
 <=50k,35, 11,0,1,1, 0, 0, 50,1
 >50k,24, 13,1,1,1, 0, 0, 40,1
 <=50k,28, 13,0,1,1, 0, 0, 50,1
 <=50k,21, 10,0,1,1, 0, 0, 35,1
 <=50k,62, 10,0,0,1, 4650, 0, 40,1
 <=50k,39, 9,0,0,2, 0, 0, 40,1
 <=50k,30, 9,0,1,1, 0, 0, 40,1
 <=50k,72, 15,0,1,1, 0, 1429, 20,1
 <=50k,50, 10,1,1,2, 0, 0, 50,1
 <=50k,28, 14,0,1,1, 0, 0, 40,1
 <=50k,29, 10,0,1,2, 0, 0, 40,1
 <=50k,26, 13,0,1,2, 0, 0, 40,1
 <=50k,27, 14,0,1,2, 0, 0, 40,1
 >50k,29, 10,1,1,1, 3103, 0, 40,1
 <=50k,29, 6,1,1,1, 0, 0, 25,1
 <=50k,31, 7,1,1,2, 0, 0, 20,1
 <=50k,25, 9,1,1,1, 0, 0, 75,1
 >50k,58, 6,1,1,1, 0, 0, 40,1
 >50k,64, 10,1,1,2, 0, 0, 40,1
 <=50k,46, 14,0,1,1, 0, 0, 38,1
 <=50k,19, 9,0,0,2, 0, 0, 35,1
 <=50k,42, 9,0,0,1, 0, 0, 52,1
 <=50k,18, 7,0,1,1, 0, 0, 24,1
 >50k,58, 13,1,1,1, 15024, 0, 50,1
 <=50k,20, 10,0,0,1, 0, 0, 60,1
 >50k,35, 9,1,1,1, 0, 0, 40,1
 >50k,32, 9,1,1,1, 0, 0, 38,1
 <=50k,23, 9,0,1,2, 0, 0, 25,1
 <=50k,31, 10,0,1,2, 0, 0, 40,1
 <=50k,33, 13,1,0,1, 0, 0, 55,1
 <=50k,41, 10,0,1,2, 0, 0, 48,1
 <=50k,22, 9,0,0,1, 0, 0, 40,1
 >50k,46, 10,1,1,1, 0, 0, 40,1
 <=50k,61, 10,1,0,1, 0, 0, 40,1
 <=50k,30, 9,0,0,1, 0, 0, 40,1
 >50k,42, 9,1,1,1, 0, 0, 55,1
 <=50k,63, 6,1,1,1, 0, 0, 40,1
 <=50k,26, 10,1,1,1, 0, 0, 40,1
 <=50k,42, 6,0,1,2, 0, 0, 40,1
 <=50k,23, 10,1,1,1, 0, 0, 40,1
 <=50k,25, 9,0,1,1, 0, 1590, 40,1
 >50k,30, 5,1,1,1, 0, 0, 32,0
 <=50k,23, 9,0,1,1, 0, 0, 40,1
 >50k,34, 11,0,1,1, 27828, 0, 60,1
 <=50k,30, 9,1,1,1, 0, 2057, 48,1
 >50k,39, 10,1,1,1, 0, 0, 40,1
 <=50k,30, 7,0,1,1, 0, 1721, 38,0
 <=50k,38, 10,0,1,2, 0, 0, 38,1
 <=50k,26, 9,0,1,2, 0, 0, 40,1
 <=50k,20, 10,0,1,1, 0, 0, 16,1
 <=50k,33, 9,1,1,2, 0, 0, 40,1
 <=50k,24, 13,0,1,1, 0, 0, 40,1
 >50k,42, 13,1,1,1, 0, 0, 60,1
 <=50k,51, 9,1,0,1, 3103, 0, 84,0
 >50k,56, 12,1,1,1, 0, 0, 45,1
 <=50k,22, 10,0,1,1, 0, 0, 40,1
 <=50k,52, 10,1,1,1, 0, 0, 60,1
 >50k,44, 13,0,1,2, 4934, 0, 45,1
 <=50k,34, 9,1,1,2, 4064, 0, 35,1
 >50k,51, 10,0,1,1, 0, 0, 42,1
 <=50k,19, 10,0,1,2, 0, 0, 25,1
 >50k,37, 13,1,1,1, 0, 0, 40,1
 >50k,68, 9,1,0,1, 0, 0, 40,1
 <=50k,22, 10,0,1,1, 0, 0, 40,1
 <=50k,56, 13,1,1,1, 0, 0, 40,1
 <=50k,37, 9,1,1,1, 0, 0, 40,1
 <=50k,52, 2,1,1,1, 0, 0, 40,0
 <=50k,26, 9,0,1,1, 0, 0, 40,0
 <=50k,33, 14,1,1,1, 0, 0, 50,1
 <=50k,45, 14,0,1,2, 0, 0, 42,1
 <=50k,18, 7,0,1,1, 0, 0, 15,1
 >50k,43, 10,1,1,1, 0, 0, 60,1
 <=50k,18, 9,0,1,1, 0, 0, 20,1
 >50k,57, 9,1,1,1, 0, 0, 40,1
 <=50k,41, 9,0,1,2, 3674, 0, 42,1
 >50k,34, 14,1,1,1, 0, 1887, 50,1
 <=50k,19, 9,0,1,2, 0, 0, 40,1
 <=50k,44, 5,0,1,2, 0, 0, 55,0
 <=50k,56, 6,0,1,2, 0, 0, 40,1
 <=50k,36, 9,1,1,1, 0, 0, 80,1
 <=50k,48, 13,0,1,2, 0, 0, 48,1
 >50k,29, 9,1,1,1, 0, 0, 40,1
 <=50k,33, 13,0,1,1, 2174, 0, 40,1
 <=50k,31, 3,1,1,1, 0, 0, 40,0
 >50k,39, 14,1,1,1, 0, 0, 45,1
 >50k,66, 9,1,1,1, 10605, 0, 40,1
 >50k,27, 13,0,1,2, 0, 0, 50,1
 >50k,39, 9,0,0,2, 99999, 0, 40,1
 >50k,59, 4,1,1,1, 5178, 0, 50,1
 <=50k,26, 9,0,1,2, 0, 0, 40,1
 <=50k,31, 11,0,1,1, 0, 0, 40,1
 <=50k,23, 9,0,1,1, 0, 0, 30,1
 <=50k,36, 9,0,1,2, 0, 0, 40,1
 >50k,34, 10,1,1,2, 0, 0, 12,1
 >50k,32, 9,1,1,1, 0, 0, 84,1
 >50k,37, 13,1,0,1, 0, 0, 50,1
 <=50k,33, 13,0,1,1, 0, 0, 45,1
 >50k,50, 15,1,1,1, 99999, 0, 80,1
 <=50k,32, 12,0,0,1, 0, 0, 40,1
 <=50k,35, 13,0,0,2, 0, 0, 40,1
 <=50k,37, 7,1,1,1, 0, 0, 40,1
 <=50k,44, 10,0,1,1, 0, 0, 60,1
 <=50k,57, 10,0,1,1, 0, 0, 25,1
 <=50k,29, 10,1,1,2, 0, 0, 40,1
 >50k,55, 9,1,1,1, 0, 0, 50,1
 >50k,43, 15,1,1,1, 0, 0, 25,1
 <=50k,43, 10,1,1,1, 0, 0, 70,1
 >50k,45, 10,1,1,1, 0, 0, 60,1
 <=50k,33, 14,1,1,2, 0, 0, 8,1
 <=50k,26, 6,0,1,2, 0, 0, 40,0
 <=50k,23, 10,1,1,1, 0, 0, 68,1
 <=50k,41, 4,0,1,1, 0, 0, 40,0
 <=50k,24, 9,1,1,1, 0, 0, 40,1
 <=50k,47, 13,1,1,1, 0, 0, 44,1
 <=50k,34, 9,0,1,1, 0, 0, 45,1
 >50k,40, 9,1,1,1, 0, 0, 40,1
 <=50k,28, 13,1,0,2, 0, 1485, 40,1
 <=50k,24, 9,0,0,2, 0, 0, 40,0
 <=50k,23, 9,0,1,1, 0, 0, 15,1
 >50k,43, 9,1,0,1, 0, 0, 40,1
 <=50k,26, 13,0,1,2, 0, 0, 40,1
 >50k,58, 16,0,1,2, 0, 1485, 35,1
 <=50k,52, 9,0,0,2, 0, 0, 35,1
 >50k,29, 7,1,1,1, 0, 0, 99,1
 <=50k,47, 7,1,1,1, 0, 0, 35,0
 <=50k,49, 9,0,0,2, 0, 0, 37,1
 <=50k,40, 7,0,1,2, 0, 0, 40,1
 <=50k,62, 9,1,1,2, 0, 0, 40,1
 >50k,49, 9,1,1,1, 0, 1977, 55,1
 >50k,50, 13,0,1,2, 0, 0, 50,1
 <=50k,31, 9,0,0,1, 0, 0, 40,1
 <=50k,48, 14,0,1,2, 0, 0, 50,1
 <=50k,24, 9,0,1,2, 0, 0, 40,1
 <=50k,37, 9,0,0,1, 0, 0, 60,1
 >50k,45, 13,1,0,1, 0, 0, 45,0
 <=50k,36, 14,1,0,1, 0, 0, 45,0
 <=50k,45, 13,1,1,1, 0, 0, 40,1
 <=50k,41, 13,0,1,2, 0, 0, 40,1
 <=50k,26, 12,0,1,2, 0, 0, 20,1
 <=50k,17, 7,0,1,2, 0, 0, 25,1
 <=50k,43, 9,1,1,1, 0, 0, 65,1
 <=50k,35, 9,0,1,1, 0, 0, 55,1
 <=50k,38, 13,0,1,2, 0, 0, 40,1
 <=50k,26, 9,0,1,1, 0, 0, 40,1
 <=50k,28, 10,0,1,2, 0, 0, 40,1
 >50k,38, 13,1,1,2, 0, 0, 24,1
 <=50k,36, 7,0,1,2, 0, 0, 40,1
 >50k,33, 9,1,1,2, 0, 0, 40,1
 <=50k,19, 9,0,1,1, 1055, 0, 70,1
 <=50k,42, 6,1,1,1, 0, 0, 40,0
 >50k,50, 6,1,1,1, 0, 0, 40,1
 <=50k,30, 9,1,1,1, 0, 0, 30,1
 <=50k,37, 10,1,0,1, 0, 0, 40,0
 >50k,54, 15,1,1,1, 99999, 0, 40,1
 <=50k,52, 13,0,1,1, 0, 0, 40,1
 <=50k,33, 9,0,1,2, 0, 0, 40,1
 <=50k,25, 10,0,1,1, 0, 0, 40,1
 <=50k,24, 13,0,1,1, 0, 0, 45,1
 <=50k,26, 11,0,0,2, 114, 0, 40,1
 >50k,39, 9,0,1,1, 0, 0, 40,1
 <=50k,59, 9,0,1,2, 0, 0, 40,1
 <=50k,29, 10,0,1,2, 0, 0, 40,1
 <=50k,47, 7,0,1,2, 0, 0, 45,1
 <=50k,64, 9,1,1,1, 0, 0, 50,1
 <=50k,21, 9,0,0,1, 0, 0, 20,1
 >50k,32, 10,1,0,2, 0, 0, 40,1
 <=50k,26, 9,0,0,2, 0, 0, 37,1
 <=50k,62, 14,1,1,1, 0, 0, 40,1
 >50k,32, 13,1,1,1, 0, 0, 55,1
 <=50k,45, 9,1,1,1, 0, 0, 60,1
 >50k,31, 13,1,1,1, 0, 1887, 50,1
 <=50k,32, 9,1,1,1, 2580, 0, 40,1
 <=50k,24, 13,1,1,1, 0, 0, 40,1
 <=50k,25, 13,0,1,2, 0, 0, 40,1
 <=50k,41, 9,1,1,1, 0, 0, 60,1
 <=50k,18, 10,0,1,2, 0, 0, 20,1
 >50k,44, 16,1,1,1, 0, 0, 55,1
 <=50k,40, 10,1,1,1, 3411, 0, 50,1
 <=50k,27, 13,0,1,1, 0, 0, 40,1
 <=50k,23, 13,0,1,1, 0, 0, 40,1
 <=50k,21, 10,0,0,1, 2174, 0, 40,1
 <=50k,37, 9,1,1,1, 0, 0, 40,1
 <=50k,65, 9,1,1,1, 0, 0, 48,1
 >50k,43, 14,1,1,1, 0, 0, 40,1
 <=50k,45, 9,0,1,1, 0, 0, 44,1
 <=50k,24, 13,0,1,2, 0, 0, 40,1
 <=50k,24, 10,0,1,1, 0, 0, 42,1
 <=50k,19, 10,0,1,1, 0, 1721, 35,1
 >50k,37, 13,1,1,1, 0, 0, 65,1
 <=50k,24, 9,0,1,2, 0, 0, 35,1
 <=50k,34, 10,1,1,1, 0, 0, 40,0
 <=50k,50, 9,1,1,2, 0, 0, 39,1
 <=50k,36, 9,1,1,1, 0, 0, 40,0
 <=50k,39, 13,1,1,1, 0, 0, 60,1
 <=50k,44, 4,1,1,1, 0, 0, 38,1
 <=50k,45, 9,1,1,1, 0, 0, 40,1
 <=50k,32, 7,0,1,1, 0, 0, 40,1
 >50k,47, 14,1,0,1, 0, 0, 40,1
 <=50k,50, 9,1,1,1, 0, 0, 40,1
 <=50k,32, 11,1,1,1, 0, 0, 40,1
 <=50k,19, 9,0,1,1, 0, 0, 40,1
 <=50k,28, 9,0,1,1, 0, 0, 50,1
 >50k,39, 14,0,1,1, 0, 0, 40,0
 <=50k,21, 10,0,1,1, 2907, 0, 40,1
 <=50k,73, 10,0,1,2, 0, 0, 75,1
 <=50k,39, 4,1,1,1, 4508, 0, 40,0
 <=50k,25, 10,0,1,1, 0, 0, 40,1
 <=50k,31, 10,0,1,2, 0, 0, 20,1
 <=50k,51, 10,0,1,2, 0, 0, 32,1
 <=50k,39, 13,1,1,2, 0, 0, 28,1
 <=50k,31, 13,0,1,1, 0, 0, 40,1
 <=50k,21, 10,0,0,1, 0, 0, 17,1
 >50k,46, 13,0,1,1, 27828, 0, 50,1
 <=50k,73, 9,0,1,2, 0, 0, 35,1
 <=50k,41, 9,0,1,1, 0, 0, 40,1
 <=50k,20, 9,0,1,1, 0, 0, 40,1
 <=50k,27, 12,0,1,1, 0, 0, 30,1
 <=50k,24, 13,0,1,1, 0, 0, 35,1
 <=50k,20, 10,1,1,1, 0, 0, 40,1
 <=50k,39, 11,0,1,1, 0, 0, 40,1
 <=50k,27, 13,0,1,1, 0, 0, 28,1
 <=50k,33, 7,1,1,1, 0, 0, 60,1
 <=50k,33, 9,1,0,1, 0, 0, 40,1
 <=50k,36, 5,1,0,1, 0, 0, 40,1
 <=50k,55, 10,1,1,1, 0, 0, 36,1
 <=50k,19, 10,0,1,1, 0, 0, 40,1
 <=50k,35, 9,0,1,1, 0, 0, 60,1
 <=50k,34, 3,0,0,1, 0, 0, 40,0
 <=50k,62, 15,0,1,2, 0, 0, 35,1
 >50k,33, 10,1,1,1, 0, 0, 40,1
 <=50k,39, 5,1,1,1, 4386, 0, 55,0
 <=50k,36, 10,1,1,1, 0, 0, 40,1
 <=50k,41, 13,0,1,2, 0, 0, 33,1
 <=50k,39, 9,1,1,1, 0, 0, 60,1
 <=50k,18, 9,0,1,2, 0, 0, 10,1
 >50k,61, 10,1,1,1, 15024, 0, 45,1
 <=50k,20, 11,0,1,2, 0, 0, 36,1
 >50k,35, 9,1,1,1, 0, 0, 65,1
 <=50k,27, 9,0,1,1, 0, 0, 40,1
 <=50k,66, 6,0,1,2, 0, 0, 38,1
 <=50k,21, 9,0,0,1, 0, 0, 40,1
 <=50k,20, 10,0,1,2, 0, 0, 18,1
 <=50k,34, 10,0,1,1, 0, 0, 40,1
 <=50k,31, 9,0,1,2, 0, 0, 40,1
 <=50k,41, 16,1,1,1, 0, 2051, 60,1
 <=50k,64, 2,1,0,1, 0, 0, 45,0
 <=50k,32, 13,0,1,2, 0, 0, 40,1
 >50k,30, 9,1,1,1, 0, 0, 50,1
 <=50k,36, 13,1,1,1, 0, 0, 72,1
 <=50k,22, 10,0,1,1, 0, 0, 12,1
 <=50k,53, 10,1,1,1, 0, 0, 50,1
 <=50k,50, 9,0,0,2, 0, 0, 40,1
 <=50k,36, 13,1,1,1, 0, 0, 40,1
 <=50k,41, 7,1,1,1, 0, 0, 40,1
 <=50k,55, 13,0,1,2, 0, 0, 35,1
 >50k,38, 13,1,1,1, 15024, 0, 50,1
 <=50k,28, 13,0,0,1, 2174, 0, 50,1
 <=50k,24, 13,0,1,2, 0, 0, 37,1
 <=50k,60, 10,0,1,2, 0, 0, 40,1
 <=50k,54, 6,1,0,1, 0, 0, 40,1
 <=50k,27, 9,1,1,1, 0, 0, 60,1
 <=50k,30, 14,1,1,2, 0, 0, 30,1
 <=50k,54, 9,0,1,1, 0, 0, 45,1
 >50k,44, 10,1,1,1, 5178, 0, 40,1
 >50k,52, 9,1,1,1, 0, 0, 60,1
 <=50k,18, 7,0,1,1, 0, 0, 20,1
 <=50k,55, 4,1,1,1, 0, 0, 50,1
